"","0_2","1","3","4"
"A1_nonTLS",67,4,3,0
"A1_TLS",27,1,1,1
"A2_nonTLS",80,4,0,0
"A2_TLS",19,3,0,1
"A4_nonTLS",80,5,2,1
"A4_TLS",36,3,2,1
"B1_nonTLS",97,3,2,5
"B1_TLS",110,3,5,3
"B2_nonTLS",144,7,2,1
"B2_TLS",130,3,3,2
"B3_nonTLS",100,5,2,2
"B3_TLS",262,12,8,2
"B4_nonTLS",188,15,5,1
"B4_TLS",82,5,1,3
"B5_nonTLS",49,1,0,0
"B5_TLS",174,7,4,3
"D1_nonTLS",10,0,1,0
"D2_nonTLS",27,4,0,1
"E1_nonTLS",9,0,0,0
"E1_TLS",13,0,0,0
"E2_nonTLS",12,0,0,0
"E2_TLS",22,0,1,0
"E3_nonTLS",77,2,1,0
"E3_TLS",34,3,1,1
"E4_nonTLS",34,3,2,1
"E4_TLS",38,1,2,1
"F1_nonTLS",146,6,7,3
"F1_TLS",97,4,4,0
"F2_nonTLS",65,3,1,1
"F2_TLS",65,6,3,1
"F3_nonTLS",60,3,2,0
"F3_TLS",108,9,5,4
"F4_nonTLS",63,3,3,0
"F4_TLS",93,7,1,1
"G1_nonTLS",118,6,4,3
"G2_nonTLS",48,3,3,1
"KO1_nonTLS",523,15,19,9
"KO1_TLS",258,15,8,1
"KO10_nonTLS",292,10,6,9
"KO10_TLS",116,5,4,0
"KO11_nonTLS",237,13,7,5
"KO11_TLS",203,12,6,0
"KO12_nonTLS",213,17,5,1
"KO12_TLS",214,6,4,3
"KO2_nonTLS",360,19,10,9
"KO2_TLS",237,11,11,6
"KO3_nonTLS",304,16,9,9
"KO3_TLS",159,11,2,5
"KO4_nonTLS",473,21,18,5
"KO4_TLS",74,5,3,0
"KO5_nonTLS",314,18,7,4
"KO5_TLS",242,11,5,2
"KO6_nonTLS",238,14,9,1
"KO6_TLS",66,5,2,2
"KO7_nonTLS",204,21,7,2
"KO7_TLS",98,8,2,0
"KO8_nonTLS",116,3,1,1
"KO8_TLS",31,3,0,0
"KO9_nonTLS",605,26,12,9
"KO9_TLS",127,1,2,1
"WT1_nonTLS",66,5,1,3
"WT2_nonTLS",90,4,4,0
"WT3_nonTLS",306,18,8,7
